,acousticness,album_popularity,artist_followers,artist_popularity,bb_appear,danceability,days_since_release,duration,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_popularity,valence,weeks
30,0.11699999999999999,56.0,302360.0,61.0,0,0.584,290,178360.0,0.601,0,0.0,10,0.184,-4.949,1,0.0712,170.063,4,44.0,0.424,0.0
31,0.0158,69.0,1106343.0,72.0,1,0.575,381,196533.0,0.6940000000000001,0,0.0,1,0.10800000000000001,-5.675,1,0.0709,77.539,4,65.0,0.442,21.0
32,0.893,84.0,410673.0,0.0,0,0.21899999999999997,290,132773.0,0.138,0,0.6659999999999999,1,0.09,-16.767,0,0.0428,119.626,4,46.0,0.0649,0.0
33,0.0008210000000000001,78.0,1286293.0,77.0,0,0.389,1245,189706.0,0.748,0,0.00058,2,0.358,-4.461,1,0.0805,78.056,4,65.0,0.21600000000000005,0.0
34,1.4999999999999999e-05,73.0,2060450.0,75.0,1,0.179,227,249466.0,0.953,0,0.00109,5,0.363,-2.6860000000000004,1,0.20199999999999999,153.955,5,58.0,0.337,1.0
35,0.00969,52.0,559275.0,61.0,0,0.5539999999999999,773,253240.0,0.866,0,2.52e-05,0,0.38799999999999996,-5.55,1,0.078,127.0,4,37.0,0.34600000000000003,0.0
36,0.0025800000000000003,,1528820.0,79.0,0,0.595,382,210652.0,0.606,1,0.0,5,0.344,-6.335,0,0.0316,92.075,4,67.0,0.168,0.0
37,2.3899999999999998e-05,63.0,1046585.0,73.0,0,0.455,906,261839.0,0.948,0,0.0892,9,0.0519,-3.7689999999999997,1,0.0653,77.443,4,33.0,0.287,0.0
38,0.00617,64.0,4569093.0,79.0,0,0.522,276,265826.0,0.8809999999999999,0,0.00872,9,0.08900000000000001,-4.775,1,0.12300000000000001,140.09799999999998,4,42.0,0.299,0.0
39,0.00946,73.0,3569273.0,78.0,0,0.517,773,219426.0,0.723,0,0.156,4,0.157,-5.617000000000001,1,0.0352,118.031,4,51.0,0.293,0.0
40,0.657,,155.0,50.0,0,0.5379999999999999,628,84000.0,0.202,0,0.00129,5,0.111,-13.319,1,0.046,190.07,3,31.0,0.193,0.0
41,0.008790000000000001,62.0,247119.0,65.0,0,0.433,283,262866.0,0.815,0,0.0,6,0.138,-3.658,1,0.0771,125.35799999999999,4,48.0,0.461,0.0
42,0.0004570000000000001,54.0,5490985.0,80.0,1,0.235,1099,221666.0,0.8690000000000001,0,0.000987,4,0.45899999999999996,-4.284,1,0.0609,146.654,4,57.0,0.513,14.0
43,0.0789,76.0,14136538.0,94.0,1,0.634,1123,217400.0,0.7490000000000001,0,0.0166,0,0.0698,-7.895,1,0.028999999999999998,100.00200000000001,4,55.0,0.49,1.0
44,0.0035,,47171.0,59.0,0,0.38,95,148401.0,0.95,0,0.000935,6,0.601,-4.436,1,0.13,108.716,4,37.0,0.461,0.0
45,0.242,,637181.0,70.0,0,0.65,1383,278520.0,0.877,0,0.000722,9,0.135,-4.14,1,0.0391,121.932,4,44.0,0.6709999999999999,0.0
46,0.00822,66.0,661354.0,68.0,0,0.632,878,181773.0,0.769,0,0.0,6,0.344,-4.898,1,0.0322,110.053,4,47.0,0.7040000000000001,0.0
47,0.0964,55.0,68889.0,54.0,0,0.6920000000000001,1158,215906.0,0.826,0,3.9e-05,11,0.0708,-4.886,1,0.0679,116.999,4,28.0,0.638,0.0
48,0.0171,37.0,45907.0,49.0,0,0.4920000000000001,990,195093.0,0.765,0,6.53e-06,7,0.15,-6.072,1,0.0287,130.075,4,15.0,0.447,0.0
49,0.831,55.0,916603.0,65.0,0,0.518,1319,259266.0,0.508,0,0.125,9,0.114,-8.495,0,0.0325,94.072,4,27.0,0.16899999999999998,0.0
50,0.755,68.0,410666.0,0.0,0,0.659,906,180560.0,0.401,0,0.0036899999999999997,4,0.126,-10.669,1,0.0704,72.942,4,52.0,0.541,0.0
51,0.000904,56.0,267541.0,54.0,0,0.5660000000000001,1288,243866.0,0.873,0,0.00677,7,0.326,-3.389,1,0.0388,127.949,4,41.0,0.501,0.0
52,0.0036899999999999997,53.0,1188413.0,70.0,0,0.741,864,200742.0,0.773,0,0.0,2,0.055999999999999994,-3.377,1,0.0402,112.02,4,43.0,0.8029999999999999,0.0
53,0.0244,,637181.0,70.0,0,0.604,396,274241.0,0.8290000000000001,1,0.0,5,0.106,-4.842,1,0.0397,139.039,4,42.0,0.6679999999999999,0.0
54,0.0042,57.0,1385279.0,69.0,0,0.601,535,223533.0,0.833,0,0.0257,5,0.212,-7.8820000000000014,0,0.0383,118.969,4,38.0,0.8640000000000001,0.0
55,0.266,68.0,612356.0,70.0,0,0.27,808,368746.0,0.324,0,0.0036200000000000004,0,0.106,-8.97,1,0.0346,162.866,4,44.0,0.0396,0.0
56,0.163,,1657962.0,85.0,0,0.855,172,135287.0,0.619,1,0.0,9,0.0962,-6.6720000000000015,1,0.245,142.99,4,64.0,0.757,0.0
57,0.326,59.0,2907049.0,75.0,0,0.813,734,145013.0,0.925,0,0.287,0,0.259,-8.405,1,0.0811,104.323,4,26.0,0.667,0.0
58,0.9420000000000001,85.0,4306500.0,83.0,0,0.153,17,173040.0,0.405,0,0.8640000000000001,0,0.105,-12.262,0,0.0361,93.338,4,60.0,0.0596,0.0
59,0.238,,430297.0,76.0,0,0.647,1252,221309.0,0.75,1,3.2899999999999987e-05,1,0.189,-7.757999999999999,1,0.0863,100.975,4,34.0,0.235,0.0
60,0.0168,55.0,1400157.0,74.0,1,0.433,780,204480.0,0.879,0,0.0,6,0.0688,-5.395,1,0.067,79.982,4,40.0,0.536,1.0
61,0.00678,71.0,1307546.0,75.0,0,0.5760000000000001,290,260346.0,0.94,0,0.00066,8,0.308,-4.541,1,0.0445,128.017,4,51.0,0.667,0.0
62,0.19399999999999998,59.0,1226080.0,68.0,0,0.41100000000000003,297,361646.0,0.917,0,0.809,7,0.0883,-5.587999999999999,1,0.0627,124.04799999999999,4,39.0,0.703,0.0
63,0.239,51.0,20875.0,46.0,0,0.389,479,298333.0,0.7140000000000001,0,0.757,3,0.16899999999999998,-5.232,1,0.0315,77.294,4,43.0,0.348,0.0
64,0.759,76.0,2455939.0,80.0,0,0.504,38,235053.0,0.39299999999999996,0,0.0,7,0.105,-6.477,0,0.0249,87.90100000000002,4,60.0,0.45899999999999996,0.0
65,0.495,51.0,360578.0,61.0,0,0.562,1406,104760.0,0.541,0,0.0,7,0.0767,-6.024,1,0.0247,94.456,4,30.0,0.857,0.0
66,0.00101,58.0,258651.0,60.0,0,0.45299999999999996,395,190853.0,0.9229999999999999,0,0.000958,1,0.121,-3.0010000000000003,1,0.0365,140.055,4,33.0,0.2,0.0
67,6.500000000000001e-05,72.0,2679695.0,80.0,0,0.478,192,236437.0,0.9440000000000001,1,0.0,4,0.146,-4.71,0,0.0294,159.972,4,54.0,0.618,0.0
68,0.00446,69.0,4525119.0,79.0,0,0.562,878,155773.0,0.976,1,0.0,7,0.373,-2.865,1,0.0585,100.024,4,46.0,0.5710000000000001,0.0
69,0.0328,,637188.0,70.0,0,0.664,1383,217093.0,0.848,0,6.51e-06,9,0.172,-2.589,0,0.0603,124.039,4,36.0,0.7829999999999999,0.0
70,0.738,,70.0,21.0,0,0.8029999999999999,1282,176560.0,0.688,0,1.02e-06,0,0.106,-3.743,1,0.312,74.479,4,34.0,0.884,0.0
71,0.35200000000000004,,1528820.0,79.0,0,0.856,137,168787.0,0.412,1,0.0,1,0.0873,-7.598,1,0.0588,140.001,4,65.0,0.5329999999999999,0.0
72,0.0138,54.0,338473.0,61.0,0,0.473,1158,221466.0,0.9079999999999999,0,0.17800000000000002,3,0.281,-5.5889999999999995,0,0.0435,76.499,4,42.0,0.6759999999999999,0.0
73,0.7390000000000001,76.0,724365.0,75.0,1,0.433,1179,229934.0,0.336,0,4.88e-06,2,0.318,-9.345,0,0.0433,87.554,4,64.0,0.157,2.0
74,0.00985,65.0,1021122.0,70.0,0,0.336,976,245262.0,0.96,1,0.0,2,0.142,-2.923,0,0.0978,125.823,4,46.0,0.12,0.0
75,0.000294,66.0,1267453.0,71.0,0,0.461,514,277360.0,0.9390000000000001,0,0.000162,1,0.313,-3.8569999999999998,1,0.0657,150.02,4,45.0,0.498,0.0
76,0.000442,52.0,235126.0,61.0,0,0.542,1252,249266.0,0.81,0,9.71e-06,1,0.195,-4.822,0,0.044000000000000004,117.02799999999999,4,56.0,0.513,0.0
77,0.0969,51.0,360578.0,61.0,0,0.66,1406,142240.0,0.818,0,0.000174,11,0.245,-6.4979999999999976,0,0.0232,105.986,4,30.0,0.932,0.0
78,0.0419,65.0,138942.0,60.0,0,0.569,948,267920.0,0.9359999999999999,0,0.0,0,0.446,-3.266,1,0.0351,132.046,4,45.0,0.45299999999999996,0.0
79,0.977,73.0,2132961.0,76.0,0,0.384,787,233982.0,0.10300000000000001,0,8.04e-05,5,0.0845,-17.051,1,0.0381,127.82799999999999,4,58.0,0.298,0.0
80,0.177,,19787.0,62.0,0,0.662,362,75043.0,0.7879999999999999,1,0.0,6,0.5479999999999999,-3.896,1,0.295,90.015,4,36.0,0.478,0.0
81,0.0872,63.0,1226080.0,68.0,1,0.753,1350,258860.0,0.757,1,0.534,0,0.17600000000000002,-5.252000000000002,1,0.033,120.03200000000001,4,52.0,0.409,20.0
82,0.00688,35.0,14357.0,39.0,0,0.32,712,207520.0,0.7929999999999999,0,2.34e-06,11,0.139,-4.539,0,0.0377,83.929,4,18.0,0.20199999999999999,0.0
83,0.0025800000000000003,,1528839.0,79.0,0,0.595,382,210652.0,0.606,1,0.0,5,0.344,-6.335,0,0.0316,92.075,4,67.0,0.168,0.0
84,0.33,65.0,1300465.0,74.0,0,0.38,486,209653.0,0.7559999999999999,0,0.0,10,0.873,-5.935,1,0.0449,112.213,4,45.0,0.23399999999999999,0.0
85,3.2e-05,64.0,130732.0,65.0,0,0.475,997,234226.0,0.95,0,0.0,9,0.162,-4.479,1,0.0573,136.016,4,43.0,0.633,0.0
86,0.44299999999999995,65.0,163127.0,66.0,0,0.431,17,237146.0,0.478,0,0.0,7,0.111,-8.274,0,0.0318,124.335,4,50.0,0.159,0.0
87,0.379,26.0,3658.0,24.0,0,0.574,1286,175435.0,0.667,0,2.4299999999999998e-05,3,0.364,-4.427,1,0.0297,109.771,4,12.0,0.27399999999999997,0.0
88,0.0131,75.0,173498.0,71.0,0,0.545,409,197680.0,0.616,0,0.0,6,0.0523,-6.0920000000000005,0,0.0453,159.987,4,59.0,0.602,0.0
89,0.0154,84.0,5366985.0,88.0,1,0.5589999999999999,1046,213093.0,0.895,0,0.0,1,0.175,-4.476,0,0.0832,183.825,4,72.0,0.59,34.0
90,0.0011300000000000001,71.0,298396.0,68.0,0,0.5579999999999999,59,203685.0,0.97,0,0.0344,2,0.318,-4.341,0,0.095,110.055,4,54.0,0.42200000000000004,0.0
91,0.000839,,22834.0,50.0,0,0.452,1276,235000.0,0.981,1,8.02e-06,8,0.243,-5.613,1,0.0476,180.016,4,41.0,0.747,0.0
92,0.8759999999999999,90.0,5366985.0,88.0,1,0.34600000000000003,157,229053.0,0.35,0,1.98e-06,2,0.0708,-4.988,1,0.0328,126.444,4,71.0,0.315,8.0
93,0.0103,73.0,2138479.0,75.0,0,0.628,843,198400.0,0.937,0,0.0,11,0.0549,-3.545,0,0.0898,144.003,4,49.0,0.6829999999999999,0.0
94,3.06e-05,62.0,8739023.0,83.0,1,0.45,738,401226.0,0.991,0,0.0247,4,0.126,-3.532,1,0.0656,122.285,4,41.0,0.337,1.0
95,0.223,50.0,88207.0,56.0,0,0.667,1137,235075.0,0.396,0,0.003,5,0.303,-10.927999999999999,1,0.0353,132.111,4,31.0,0.326,0.0
96,5.61e-06,52.0,709313.0,68.0,0,0.45299999999999996,766,169573.0,0.892,0,0.00132,2,0.35,-5.033,0,0.0381,86.01,4,46.0,0.586,0.0
97,1.18e-05,66.0,2340602.0,75.0,0,0.371,1399,207260.0,0.992,1,0.0,5,0.317,-2.642,0,0.134,173.887,4,39.0,0.37,0.0
98,0.205,60.0,154626.0,60.0,0,0.532,185,200346.0,0.628,0,0.00011999999999999999,2,0.115,-5.648,0,0.0403,92.59299999999999,4,48.0,0.508,0.0
